MonthStart,MonthLabel,Year,OpeningHeadcount,Hires,Exits,ClosingHeadcount,AverageHeadcount,TurnoverRate,AnnualizedTurnoverRate,RiskLevel
2025-01-01,Jan 2025,2025,520,9,12,517,518.5,0.023144,0.277724,Low Risk
2025-02-01,Feb 2025,2025,517,14,14,517,517.0,0.027079,0.324952,Low Risk
2025-03-01,Mar 2025,2025,517,11,8,520,518.5,0.015429,0.185149,Low Risk
2025-04-01,Apr 2025,2025,520,9,6,523,521.5,0.011505,0.138063,Low Risk
2025-05-01,May 2025,2025,523,15,14,524,523.5,0.026743,0.320917,Low Risk
2025-06-01,Jun 2025,2025,525,13,11,526,525.5,0.020932,0.251189,Low Risk
2025-07-01,Jul 2025,2025,526,11,8,529,527.5,0.015166,0.181991,Low Risk
2025-08-01,Aug 2025,2025,530,20,12,537,533.5,0.022493,0.269916,Low Risk
2025-09-01,Sep 2025,2025,537,18,12,543,540.0,0.022222,0.266667,Low Risk
2025-10-01,Oct 2025,2025,544,12,9,546,545.0,0.016514,0.198165,Low Risk
2025-11-01,Nov 2025,2025,548,20,13,553,550.5,0.023615,0.283379,Low Risk
2025-12-01,Dec 2025,2025,554,18,7,564,559.0,0.012522,0.150268,Low Risk
2026-01-01,Jan 2026,2026,564,10,10,564,564.0,0.01773,0.212766,Low Risk
2026-02-01,Feb 2026,2026,564,13,6,571,567.5,0.010573,0.126872,Low Risk
2026-03-01,Mar 2026,2026,571,12,7,576,573.5,0.012206,0.146469,Low Risk
2026-04-01,Apr 2026,2026,577,13,6,583,580.0,0.010345,0.124138,Low Risk
2026-05-01,May 2026,2026,585,9,10,582,583.5,0.017138,0.205656,Low Risk
2026-06-01,Jun 2026,2026,583,15,5,592,587.5,0.008511,0.102128,Low Risk
