MonthStart,MonthLabel,Year,Department,OpeningHeadcount,Hires,Exits,ClosingHeadcount,AverageHeadcount,TurnoverRate,AnnualizedTurnoverRate,RiskLevel
2025-01-01,Jan 2025,2025,Administration,65,0,2,63,64.0,0.03125,0.375,Low Risk
2025-01-01,Jan 2025,2025,Finance & Accounts,33,1,0,34,33.5,0.0,0.0,Low Risk
2025-01-01,Jan 2025,2025,Human Resources,28,1,0,29,28.5,0.0,0.0,Low Risk
2025-01-01,Jan 2025,2025,Information Technology,36,2,2,36,36.0,0.055556,0.666667,Moderate Risk
2025-01-01,Jan 2025,2025,Production,195,1,5,191,193.0,0.025907,0.310881,Low Risk
2025-01-01,Jan 2025,2025,Quality Assurance,54,1,3,52,53.0,0.056604,0.679245,Moderate Risk
2025-01-01,Jan 2025,2025,Sales & Marketing,58,2,0,60,59.0,0.0,0.0,Low Risk
2025-01-01,Jan 2025,2025,Supply Chain,51,1,0,52,51.5,0.0,0.0,Low Risk
2025-02-01,Feb 2025,2025,Administration,63,1,1,63,63.0,0.015873,0.190476,Low Risk
2025-02-01,Feb 2025,2025,Finance & Accounts,34,0,0,34,34.0,0.0,0.0,Low Risk
2025-02-01,Feb 2025,2025,Human Resources,29,2,1,30,29.5,0.033898,0.40678,Low Risk
2025-02-01,Feb 2025,2025,Information Technology,36,0,1,35,35.5,0.028169,0.338028,Low Risk
2025-02-01,Feb 2025,2025,Production,191,6,5,192,191.5,0.02611,0.313316,Low Risk
2025-02-01,Feb 2025,2025,Quality Assurance,52,2,4,50,51.0,0.078431,0.941176,Moderate Risk
2025-02-01,Feb 2025,2025,Sales & Marketing,60,1,1,60,60.0,0.016667,0.2,Low Risk
2025-02-01,Feb 2025,2025,Supply Chain,52,2,1,53,52.5,0.019048,0.228571,Low Risk
2025-03-01,Mar 2025,2025,Administration,63,0,1,62,62.5,0.016,0.192,Low Risk
2025-03-01,Mar 2025,2025,Finance & Accounts,34,2,0,36,35.0,0.0,0.0,Low Risk
2025-03-01,Mar 2025,2025,Human Resources,30,2,0,32,31.0,0.0,0.0,Low Risk
2025-03-01,Mar 2025,2025,Information Technology,35,0,2,33,34.0,0.058824,0.705882,Moderate Risk
2025-03-01,Mar 2025,2025,Production,192,3,2,193,192.5,0.01039,0.124675,Low Risk
2025-03-01,Mar 2025,2025,Quality Assurance,50,1,1,50,50.0,0.02,0.24,Low Risk
2025-03-01,Mar 2025,2025,Sales & Marketing,60,2,1,61,60.5,0.016529,0.198347,Low Risk
2025-03-01,Mar 2025,2025,Supply Chain,53,1,1,53,53.0,0.018868,0.226415,Low Risk
2025-04-01,Apr 2025,2025,Administration,62,0,0,62,62.0,0.0,0.0,Low Risk
2025-04-01,Apr 2025,2025,Finance & Accounts,36,1,0,37,36.5,0.0,0.0,Low Risk
2025-04-01,Apr 2025,2025,Human Resources,32,1,0,33,32.5,0.0,0.0,Low Risk
